model,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
logistic_regression,0.7070301860713771,0.007802305071410758,0.6023571818932604,0.009678394621800947,0.5201321468804982,0.020570988136482435,0.5578768592687144,0.010311872617965226
decision_tree,0.6828751443389438,0.012035310810228891,0.6020139227776535,0.015420933968793061,0.39982405731427917,0.036618963119128836,0.47926550800824563,0.02454380287100867
random_forest,0.7188648030497271,0.007123101461666825,0.6112445886447629,0.011422996139968507,0.46223940863005203,0.026073395224187893,0.5260068267218484,0.018203390239260105
gradient_boosting,0.7149001893512281,0.005868278054001144,0.6123217113772049,0.0024803375610375007,0.5463248231079832,0.010090531533269616,0.5773877138609935,0.005520817156666474
